Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
121459;Hamm, GG Freiligrath;BR Arnsberg;Stadt Hamm;Hamm;5
121460;Hamm, KG Von-Vincke;BR Arnsberg;Stadt Hamm;Hamm;2
121472;Hamm, GG Talschule;BR Arnsberg;Stadt Hamm;Hamm;5
121484;Hamm, KG Overberg;BR Arnsberg;Stadt Hamm;Hamm;2
121496;Werne, KG Wiehagenschule;BR Arnsberg;Kreis Unna;Werne;3
121526;Werne, KG Uhland;BR Arnsberg;Kreis Unna;Werne;3
121538;Ascheberg, KG (Verb.) Lambertusschule;BR MÅnster;Kreis Coesfeld;Ascheberg;2
121551;Senden, GG Dietrich-Bonhoeffer-Schule;BR MÅnster;Kreis Coesfeld;Senden;2
121563;Senden, GG Marienschule;BR MÅnster;Kreis Coesfeld;Senden;5
121575;Drensteinfurt, KG Kardinal-von-Galen;BR MÅnster;Kreis Warendorf;Drensteinfurt;2
121587;Drensteinfurt, KG Lambertus;BR MÅnster;Kreis Warendorf;Drensteinfurt;2
121599;LÅnen, GG Matthias-Claudius-Schule;BR Arnsberg;Kreis Unna;LÅnen;2
121605;LÅnen, GG am Heikenberg;BR Arnsberg;Kreis Unna;LÅnen;4
121629;LÅnen, KG Kardinal-von-Galen-Schule;BR Arnsberg;Kreis Unna;LÅnen;2
121630;LÅnen, KG Gottfriedschule;BR Arnsberg;Kreis Unna;LÅnen;2
121654;Selm, GG (Verb.) Auf den éckern;BR Arnsberg;Kreis Unna;Selm;3
121680;Selm, KG Ludgeri;BR Arnsberg;Kreis Unna;Selm;2
121691;Ascheberg, KG Marien;BR MÅnster;Kreis Coesfeld;Ascheberg;2
121708;Werne, KG Kardinal-von-Galen-Schule;BR Arnsberg;Kreis Unna;Werne;2
121721;LÅdinghausen, KG Ostwallschule;BR MÅnster;Kreis Coesfeld;LÅdinghausen;2
121733;LÅdinghausen, KG Ludgeri;BR MÅnster;Kreis Coesfeld;LÅdinghausen;4
121745;LÅdinghausen, KG Marien;BR MÅnster;Kreis Coesfeld;LÅdinghausen;2
121769;Nordkirchen, KG Mauritiusschule;BR MÅnster;Kreis Coesfeld;Nordkirchen;1
121770;Nordkirchen, KG (Verb.) Hauptstra·e;BR MÅnster;Kreis Coesfeld;Nordkirchen;1
121794;Olfen, KG Wieschhofschule;BR MÅnster;Kreis Coesfeld;Olfen;2
121800;Senden, KG Davert;BR MÅnster;Kreis Coesfeld;Senden;2
121812;Greven, EG Martin-Luther-Schule;BR MÅnster;Kreis Steinfurt;Greven;3
121836;Greven, KG St. Marien Schule;BR MÅnster;Kreis Steinfurt;Greven;3
121848;Greven, KG St.Martini;BR MÅnster;Kreis Steinfurt;Greven;5
121850;Greven, GG Erich KÑstner Grundschule;BR MÅnster;Kreis Steinfurt;Greven;2
121861;Greven, KG St. Josef Schule;BR MÅnster;Kreis Steinfurt;Greven;2
121885;Havixbeck, KG Baumberge-Schule;BR MÅnster;Kreis Coesfeld;Havixbeck;2
121897;Saerbeck, KG St. Georg;BR MÅnster;Kreis Steinfurt;Saerbeck;3
121903;Emsdetten, KG Emanuel-von-Ketteler;BR MÅnster;Kreis Steinfurt;Emsdetten;1
121915;Nottuln, KG Marienschule;BR MÅnster;Kreis Coesfeld;Nottuln;4
121927;Nottuln, KG St. Martinus-Schule;BR MÅnster;Kreis Coesfeld;Nottuln;2
121940;MÅnster, GG Ludgerusschule;BR MÅnster;Stadt MÅnster;MÅnster;4
121964;MÅnster,KG A.v.-Droste-HÅlshoff Nienbe.;BR MÅnster;Stadt MÅnster;MÅnster;3
121976;MÅnster,KG Marienschule Roxel;BR MÅnster;Stadt MÅnster;MÅnster;3
121988;MÅnster, KG Loevelingloh;BR MÅnster;Stadt MÅnster;MÅnster;2
121990;MÅnster, KG Davertschule;BR MÅnster;Stadt MÅnster;MÅnster;3
122002;MÅnster,GG Matthias-Claudius Drostestr.;BR MÅnster;Stadt MÅnster;MÅnster;3
122014;MÅnster, KG Kardinal-von-Galen;BR MÅnster;Stadt MÅnster;MÅnster;2
122026;MÅnster, GG Paul-Gerhardt-Schule;BR MÅnster;Stadt MÅnster;MÅnster;3
122038;MÅnster, KG Ludgerusschule;BR MÅnster;Stadt MÅnster;MÅnster;4
122040;MÅnster, KG Clemensschule Hiltrup;BR MÅnster;Stadt MÅnster;MÅnster;4
122051;MÅnster, KG Marienschule Hiltrup;BR MÅnster;Stadt MÅnster;MÅnster;2
122063;MÅnster, GG Astrid-Lindgren-Schule;BR MÅnster;Stadt MÅnster;MÅnster;2
122087;MÅnster, KG Sprakel;BR MÅnster;Stadt MÅnster;MÅnster;3
122099;MÅnster, KG Pleisterschule;BR MÅnster;Stadt MÅnster;MÅnster;1
122117;Telgte, GG BrÅder-Grimm-Schule;BR MÅnster;Kreis Warendorf;Telgte;2
122129;Telgte, GG Marienschule;BR MÅnster;Kreis Warendorf;Telgte;3
122130;Telgte, KG St. Christophorus;BR MÅnster;Kreis Warendorf;Telgte;2
122142;Sendenhorst, KG Ludgerus;BR MÅnster;Kreis Warendorf;Sendenhorst;1
122166;MÅnster,KG Annette-v.-Droste-HÅlsh.Ange.;BR MÅnster;Stadt MÅnster;MÅnster;3
122178;MÅnster, GG Eichendorff;BR MÅnster;Stadt MÅnster;MÅnster;6
122180;Drensteinfurt, KG Rinkerode;BR MÅnster;Kreis Warendorf;Drensteinfurt;2
122191;MÅnster, KG Nikolaischule Wolbeck;BR MÅnster;Stadt MÅnster;MÅnster;4
122208;Haltern, KG Marienschule;BR MÅnster;Kreis Recklinghausen;Haltern am See;5
122210;Haltern, KG Silverbergschule;BR MÅnster;Kreis Recklinghausen;Haltern am See;2
122221;Haltern, EG (Verb.) Katharina-von-Bora;BR MÅnster;Kreis Recklinghausen;Haltern am See;2
122245;Herten, GG Ludgerusschule;BR MÅnster;Kreis Recklinghausen;Herten;7
122257;Herten, GG (Verb.) SÅder Grundschule;BR MÅnster;Kreis Recklinghausen;Herten;5
122269;Herten, GG Waldschule;BR MÅnster;Kreis Recklinghausen;Herten;2
122270;Herten, GG Herten-Mitte;BR MÅnster;Kreis Recklinghausen;Herten;6
122282;Herten, GG Goetheschule;BR MÅnster;Kreis Recklinghausen;Herten;3
122294;Herten, GG Comenius;BR MÅnster;Kreis Recklinghausen;Herten;1
122336;Herten, GG Martini;BR MÅnster;Kreis Recklinghausen;Herten;4
122348;Bottrop, GG (Verb.) Gregor./Marienschule;BR MÅnster;Stadt Bottrop;Bottrop;1
122373;Bottrop, KG Grafenwald;BR MÅnster;Stadt Bottrop;Bottrop;1
122385;Bottrop, KG (Verb.) Johannesschule;BR MÅnster;Stadt Bottrop;Bottrop;2
122403;Datteln, GG Albert-Schweitzer-Schule;BR MÅnster;Kreis Recklinghausen;Datteln;2
122415;Datteln, EG Bîckenheckschule;BR MÅnster;Kreis Recklinghausen;Datteln;5
122439;Datteln, KG Meckinghoven;BR MÅnster;Kreis Recklinghausen;Datteln;3
122440;Datteln, GG Gustav-Adolf-Schule;BR MÅnster;Kreis Recklinghausen;Datteln;5
122464;Datteln, KG Lohschule;BR MÅnster;Kreis Recklinghausen;Datteln;4
122476;Haltern, KG (Verb.) Heideschule;BR MÅnster;Kreis Recklinghausen;Haltern am See;1
122488;Oer-Erkenschwick, GG Clemens-Hîppe;BR MÅnster;Kreis Recklinghausen;Oer-Erkenschwick;5
122490;Oer-Erkenschwick, GG Ewaldschule;BR MÅnster;Kreis Recklinghausen;Oer-Erkenschwick;3
122506;Oer-Erkenschwick, GG Haardschule;BR MÅnster;Kreis Recklinghausen;Oer-Erkenschwick;3
122518;Oer-Erkenschwick, EG Albert-Schweitzer;BR MÅnster;Kreis Recklinghausen;Oer-Erkenschwick;6
122555;Dorsten, GG Albert-Schweitzer;BR MÅnster;Kreis Recklinghausen;Dorsten;3
122579;Dorsten, GG Pestalozzischule;BR MÅnster;Kreis Recklinghausen;Dorsten;2
122580;Dorsten, GG Antoniusschule;BR MÅnster;Kreis Recklinghausen;Dorsten;2
122592;Dorsten, GG (Verb.) Augustaschule;BR MÅnster;Kreis Recklinghausen;Dorsten;4
122610;Dorsten, KG Agathaschule;BR MÅnster;Kreis Recklinghausen;Dorsten;2
122646;Dorsten, KG Don-Bosco;BR MÅnster;Kreis Recklinghausen;Dorsten;1
122658;Dorsten, KG Urbanus;BR MÅnster;Kreis Recklinghausen;Dorsten;1
122660;Dorsten, KG Wittenbrinkschule;BR MÅnster;Kreis Recklinghausen;Dorsten;1
122713;Marl, GG KÑthe-Kollwitz-Schule;BR MÅnster;Kreis Recklinghausen;Marl;4
122737;Marl, GG SickingmÅhleschule;BR MÅnster;Kreis Recklinghausen;Marl;1
122749;Marl, GG Goethe;BR MÅnster;Kreis Recklinghausen;Marl;5
122774;Marl, GG August-Dîhr-Schule;BR MÅnster;Kreis Recklinghausen;Marl;7
122798;Marl, GG Martin-Buber-Schule;BR MÅnster;Kreis Recklinghausen;Marl;9
122804;Marl, GG Pestalozzi;BR MÅnster;Kreis Recklinghausen;Marl;6
122816;Marl, GG Haard-/Johannesschule;BR MÅnster;Kreis Recklinghausen;Marl;4
122828;Marl, GG Harkortschule;BR MÅnster;Kreis Recklinghausen;Marl;5
122830;Marl, GG Bonifatiusschule;BR MÅnster;Kreis Recklinghausen;Marl;7
122841;Marl, KG Canisiusschule;BR MÅnster;Kreis Recklinghausen;Marl;5
122889;Marl, GG Overberg;BR MÅnster;Kreis Recklinghausen;Marl;2
122907;Marl, KG Aloysiusschule;BR MÅnster;Kreis Recklinghausen;Marl;2
122920;Herten, GG Barbaraschule;BR MÅnster;Kreis Recklinghausen;Herten;6
122932;Marl, KG BartholomÑusschule;BR MÅnster;Kreis Recklinghausen;Marl;1
122944;Castrop-Rauxel, KG Alter Garten;BR MÅnster;Kreis Recklinghausen;Castrop-Rauxel;2
122968;Waltrop, GG (Verb.) Lindgren Schule;BR MÅnster;Kreis Recklinghausen;Waltrop;3
122970;Waltrop, GG Kardinal-von-Galen;BR MÅnster;Kreis Recklinghausen;Waltrop;3
122981;Waltrop, GG August-Hermann-Francke;BR MÅnster;Kreis Recklinghausen;Waltrop;2
123018;Steinfurt, KG Marien;BR MÅnster;Kreis Steinfurt;Steinfurt;3
123031;Steinfurt, GG Dumte;BR MÅnster;Kreis Steinfurt;Steinfurt;2
123043;Steinfurt, GG Regenbogenschule;BR MÅnster;Kreis Steinfurt;Steinfurt;3
123055;Steinfurt, GG Bismarck;BR MÅnster;Kreis Steinfurt;Steinfurt;5
123067;Steinfurt, GG (Verb.) Graf-Ludwig-Schule;BR MÅnster;Kreis Steinfurt;Steinfurt;3
123080;Emsdetten, KG Josefschule;BR MÅnster;Kreis Steinfurt;Emsdetten;2
123092;Emsdetten, KG Hollingen;BR MÅnster;Kreis Steinfurt;Emsdetten;2
123109;Emsdetten, KG Johannesschule;BR MÅnster;Kreis Steinfurt;Emsdetten;4
123134;Emsdetten, KG Kardinal-von-Galen;BR MÅnster;Kreis Steinfurt;Emsdetten;4
123146;Emsdetten, KG Wilhelmschule;BR MÅnster;Kreis Steinfurt;Emsdetten;4
123158;Rheine, GG Edith-Stein-Schule;BR MÅnster;Kreis Steinfurt;Rheine;4
123160;Rheine, GG Ludgerusschule Schotthock;BR MÅnster;Kreis Steinfurt;Rheine;9
123183;Rheine, GG Annetteschule;BR MÅnster;Kreis Steinfurt;Rheine;4
123195;Rheine, GG Johannesschule;BR MÅnster;Kreis Steinfurt;Rheine;4
123201;Rheine, GG Michaelschule;BR MÅnster;Kreis Steinfurt;Rheine;7
123213;Rheine, GG Gertruden;BR MÅnster;Kreis Steinfurt;Rheine;2
123225;Rheine, GG Bodelschwinghschule;BR MÅnster;Kreis Steinfurt;Rheine;6
123237;Rheine, GG Paul-Gerhardt;BR MÅnster;Kreis Steinfurt;Rheine;3
123249;Rheine, KG SÅdesch;BR MÅnster;Kreis Steinfurt;Rheine;5
123262;Metelen, KG St.-Vitus-Grundschule;BR MÅnster;Kreis Steinfurt;Metelen;2
123274;Neuenkirchen, KG Ludgeri;BR MÅnster;Kreis Steinfurt;Neuenkirchen;2
123298;Neuenkirchen,KG (Verb) Lindenschule;BR MÅnster;Kreis Steinfurt;Neuenkirchen;2
123304;Nordwalde, KG Gangolf;BR MÅnster;Kreis Steinfurt;Nordwalde;4
123316;Nordwalde, KG Wichern;BR MÅnster;Kreis Steinfurt;Nordwalde;3
123328;Wettringen, KG Ludgerusschule;BR MÅnster;Kreis Steinfurt;Wettringen;2
123341;Horstmar, KG (Verb.) Astrid-Lindgren;BR MÅnster;Kreis Steinfurt;Horstmar;3
123353;Laer, KG Werner-Rolevinck-Schule;BR MÅnster;Kreis Steinfurt;Laer;3
123365;Ochtrup, KG von-Galen-Schule;BR MÅnster;Kreis Steinfurt;Ochtrup;1
123377;Ochtrup, KG Lamberti;BR MÅnster;Kreis Steinfurt;Ochtrup;2
123389;Ochtrup, KG Marienschule;BR MÅnster;Kreis Steinfurt;Ochtrup;4
123407;Rheine, KG Franziskus;BR MÅnster;Kreis Steinfurt;Rheine;2
123419;Rheine,KG (Verb) Johannessch.Mesum/Elte;BR MÅnster;Kreis Steinfurt;Rheine;3
123420;Rheine, KG Kardinal-von-Galen;BR MÅnster;Kreis Steinfurt;Rheine;2
123444;Rheine, KG Marien;BR MÅnster;Kreis Steinfurt;Rheine;3
123468;Rheine, KG (Verb.) Canisiusschule;BR MÅnster;Kreis Steinfurt;Rheine;3
123470;Lengerich, GG Stadtfeldmark;BR MÅnster;Kreis Steinfurt;Lengerich;4
123481;Lengerich, GG Kirchpatt;BR MÅnster;Kreis Steinfurt;Lengerich;4
123493;Lengerich, GG Intrup;BR MÅnster;Kreis Steinfurt;Lengerich;7
123500;Lengerich, GG Hohne;BR MÅnster;Kreis Steinfurt;Lengerich;5
123511;Ladbergen, GG Auf dem Rott;BR MÅnster;Kreis Steinfurt;Ladbergen;3
123523;Lienen, GG Schulstr.;BR MÅnster;Kreis Steinfurt;Lienen;2
123535;Lienen, GG Kattenvenne;BR MÅnster;Kreis Steinfurt;Lienen;2
123559;Mettingen, GG Paul-Gerhardt-Schule;BR MÅnster;Kreis Steinfurt;Mettingen;4
123572;Mettingen, KG Ludgeri-Schule;BR MÅnster;Kreis Steinfurt;Mettingen;2
123596;Recke, KG Raphael;BR MÅnster;Kreis Steinfurt;Recke;2
123602;Recke, KG Overberg;BR MÅnster;Kreis Steinfurt;Recke;3
123614;Westerkappeln, GG Handarpe;BR MÅnster;Kreis Steinfurt;Westerkappeln;1
123626;Westerkappeln, GG am Bullerdiek;BR MÅnster;Kreis Steinfurt;Westerkappeln;2
123640;Hopsten, KG (Verb.) Franziskusschule;BR MÅnster;Kreis Steinfurt;Hopsten;2
123663;IbbenbÅren, GG Barbara;BR MÅnster;Kreis Steinfurt;IbbenbÅren;2
123705;IbbenbÅren,GG Kardinal-v-Galen-Europasch;BR MÅnster;Kreis Steinfurt;IbbenbÅren;2
123730;IbbenbÅren, GG Ludgeri;BR MÅnster;Kreis Steinfurt;IbbenbÅren;2
123754;IbbenbÅren, GG Michaelschule;BR MÅnster;Kreis Steinfurt;IbbenbÅren;3
123766;IbbenbÅren, GG Johannes-Bosco-Schule;BR MÅnster;Kreis Steinfurt;IbbenbÅren;1
123780;IbbenbÅren, GG Albert-Schweitzer;BR MÅnster;Kreis Steinfurt;IbbenbÅren;3
123791;Lotte, GG OsnabrÅcker Str.;BR MÅnster;Kreis Steinfurt;Lotte;4
