sep=;
Schulnummer;Anzahl;
"104670";"211";
"104681";"237";
"104693";"200";
"104700";"384";
"104796";"253";
"104802";"376";
"104814";"245";
"104838";"258";
"104840";"203";
"104851";"355";
"104863";"209";
"104875";"190";
"104887";"229";
"104905";"244";
"104917";"217";
"104929";"221";
"104930";"337";
"104954";"286";
"104966";"323";
"104991";"322";
"105004";"207";
"105041";"213";
"105065";"393";
"105089";"324";
"105090";"285";
"105107";"290";
"105119";"426";
"105120";"411";
"105132";"297";
"105144";"215";
"105156";"223";
"105170";"373";
"105181";"300";
"105193";"224";
"105211";"243";
"105223";"325";
"105235";"285";
"105247";"214";
"105259";"286";
"105260";"197";
"105272";"220";
"105284";"376";
"105296";"221";
"105302";"292";
"105314";"206";
"105363";"368";
"105375";"286";
"105387";"273";
"105399";"221";
"105405";"299";
"105417";"361";
"105429";"289";
"105430";"529";
"105442";"306";
"105454";"179";
"105466";"327";
"105478";"207";
"105480";"210";
"105510";"206";
"105521";"172";
"105533";"268";
"105545";"337";
"105569";"198";
"105582";"218";
"105594";"222";
"105600";"193";
"105624";"286";
"105636";"187";
"105648";"334";
"105650";"380";
"105661";"318";
"105673";"311";
"105685";"260";
"105697";"281";
"105703";"201";
"105715";"225";
"105727";"393";
"105739";"214";
"105740";"345";
"105752";"231";
"105776";"314";
"105788";"262";
"105790";"136";
"105820";"258";
"105831";"192";
"105855";"359";
"105867";"314";
"105879";"229";
"105880";"303";
"105892";"248";
"105909";"226";
"105910";"187";
"105922";"379";
"105946";"358";
"105958";"216";
"105971";"308";
"105983";"325";
"105995";"207";
"106008";"333";
"106010";"102";
"106021";"250";
"106033";"310";
"106069";"214";
"106070";"210";
"106082";"225";
"106094";"309";
"106100";"222";
"106112";"275";
"106124";"191";
"106136";"292";
"106197";"186";
"106203";"379";
"106215";"333";
"106239";"223";
"106252";"285";
"106264";"297";
"106276";"176";
"106288";"355";
"106318";"199";
"106331";"292";
"106343";"342";
"106355";"332";
"106367";"176";
"106392";"148";
"106409";"225";
"106410";"191";
"106434";"228";
"106446";"301";
"106458";"236";
"106471";"180";
"106483";"303";
"106495";"148";
"106501";"200";
"106513";"283";
"106525";"297";
"106550";"311";
"106562";"266";
"106574";"359";
"106604";"344";
"106616";"194";
"106630";"294";
"106641";"314";
"106653";"235";
"106665";"143";
"106677";"204";
"106690";"310";
"106707";"228";
"106719";"293";
"106720";"412";
"106732";"192";
"106744";"192";
"106756";"206";
"106768";"111";
"106770";"155";
"106781";"332";
"106793";"207";
"106800";"213";
"106823";"107";
"106847";"192";
"106859";"217";
"106860";"282";
"106884";"499";
"106902";"242";
"106951";"394";
"106975";"256";
"107001";"273";
"107013";"242";
"107025";"303";
"107037";"275";
"107049";"227";
"107050";"194";
"107062";"193";
"107086";"322";
"107098";"156";
"107104";"365";
"107116";"301";
"107128";"177";
"107130";"208";
"107141";"352";
"107153";"208";
"107177";"227";
"107189";"274";
"107190";"224";
"107207";"207";
"107219";"268";
"107220";"210";
"107232";"403";
"107244";"202";
"107256";"239";
"107268";"115";
"107270";"169";
"107281";"190";
"107293";"190";
"107300";"239";
"107311";"274";
"107323";"218";
"107335";"265";
"107347";"238";
"107359";"241";
"107360";"105";
"107372";"117";
"107384";"259";
"107396";"406";
"107438";"656";
"107440";"129";
"107451";"240";
"107463";"227";
"107475";"385";
"107487";"153";
"107499";"218";
"107505";"205";
"107517";"293";
"107542";"317";
"107578";"195";
"107580";"302";
"107608";"324";
"107610";"300";
"107621";"295";
"107657";"302";
"107670";"436";
"107694";"143";
"107700";"324";
"107712";"225";
"107724";"363";
"107748";"284";
"107750";"213";
"107761";"191";
"107773";"219";
"107785";"396";
"107797";"286";
"107803";"348";
"107815";"273";
"107827";"270";
"107839";"206";
"107840";"330";
"107852";"190";
"107864";"236";
"107888";"289";
"107890";"367";
"107906";"217";
"107918";"314";
"107931";"305";
"107943";"416";
"107955";"216";
"107967";"290";
"107979";"156";
"107980";"259";
"107992";"110";
"108017";"460";
"108029";"190";
"108030";"462";
"108054";"183";
"108080";"298";
"108108";"157";
"108110";"223";
"108133";"207";
"108145";"250";
"108157";"432";
"108169";"285";
"108170";"183";
"108182";"203";
"108224";"296";
"108236";"219";
"108248";"369";
"108261";"237";
"108273";"305";
"108297";"138";
"108327";"209";
"108339";"235";
"108340";"450";
"108376";"179";
"108388";"283";
"108390";"244";
"108406";"287";
"108418";"531";
"108455";"202";
"108479";"283";
"108509";"422";
"108534";"216";
"108546";"107";
"108560";"412";
"108571";"373";
"108583";"221";
"108649";"181";
"108650";"389";
"108662";"220";
"108674";"230";
"108686";"153";
"108698";"208";
"108704";"236";
"108716";"235";
"108728";"200";
"108730";"231";
"108741";"187";
"108765";"357";
"108790";"205";
"108819";"349";
"108820";"324";
"108832";"309";
"108844";"159";
"108856";"317";
"108868";"143";
"108881";"321";
"108923";"333";
"108959";"238";
"108960";"242";
"108972";"211";
"108996";"245";
