sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"10327";"Stadt Herne";"";"";"Stadt Herne";"44651";"Herne";"Eickeler Markt 1";"02323";"160";"02323";"162100";"05916000";"1";
"10339";"Stadt Iserlohn";"";"";"Stadt Iserlohn";"58636";"Iserlohn";"Schillerplatz 7";"02371";"2171";"02371";"2172990";"05962024";"1";
"10340";"Stadt Lünen";"";"";"Stadt Lünen";"44532";"Lünen";"Pfarrer-Bremer-Str. 16";"02306";"1040";"02306";"104211753";"05978024";"1";
"10376";"Stadt Witten";"";"";"Stadt Witten";"58452";"Witten";"Marktstr. 16";"02302";"5810";"02302";"55554";"05954036";"1";
"10390";"Kreis Mettmann";"";"";"Kreis Mettmann";"40822";"Mettmann";"Düsseldorfer Str. 26";"02104";"7901";"";"";"05158024";"1";
"10418";"Rhein-Kreis Neuss";"";"";"Rhein-Kreis Neuss";"41515";"Grevenbroich";"Lindenstr. 2-16";"02181";"6011";"";"";"05162008";"1";
"10420";"Kreis Viersen";"";"";"Kreis Viersen";"41747";"Viersen";"Rathausmarkt 3";"02162";"390";"02162";"391803";"05166032";"1";
"10431";"Kreis Kleve";"";"";"Kreis Kleve";"47533";"Kleve";"Nassauerallee 15-23";"02821";"851";"02821";"85500";"05154036";"1";
"10455";"Kreis Wesel";"Fachbereich Schulen und Kultur 40";"";"Kreis Wesel";"46483";"Wesel";"Reeser Landstr. 31";"0281";"2070";"0281";"2074043";"05170048";"1";
"10479";"Rhein-Erft-Kreis";"";"";"Rhein-Erft-Kreis";"50126";"Bergheim";"Willy-Brandt-Platz 1";"02271";"830";"02271";"8324010";"05362008";"1";
"10480";"Kreis Euskirchen";"";"";"Kreis Euskirchen";"53879";"Euskirchen";"Jülicher Ring 32";"02251";"150";"02251";"15666";"05366016";"1";
"10509";"Oberbergischer Kreis";"";"";"Oberbergischer Kreis";"51643";"Gummersbach";"Moltkestr. 42";"02261";"880";"02261";"881033";"05374012";"1";
"10510";"Rheinisch-Bergischer Kreis";"";"";"Rheinisch-Bergischer Kreis";"51469";"Bergisch Gladbach";"Scheidtbachstr. 23";"02202";"140";"02202";"14702809";"05378004";"1";
"10522";"Rhein-Sieg-Kreis";"";"";"Rhein-Sieg-Kreis";"53721";"Siegburg";"Kaiser-Wilhelm-Platz 1";"02241";"130";"02241";"132179";"05382060";"1";
"10534";"Städteregion Aachen";"";"";"Städteregion Aachen";"52070";"Aachen";"Zollernstr. 16";"0241";"51980";"0241";"533190";"05334002";"1";
"10546";"Kreis Düren";"";"";"Kreis Düren";"52351";"Düren";"Bismarckstr. 16";"02421";"220";"02421";"221010900";"05358008";"1";
"10558";"Kreis Heinsberg";"";"";"Kreis Heinsberg";"52525";"Heinsberg";"Valkenburger Str. 45";"02452";"134014";"02452";"134095";"05370016";"1";
"10583";"Kreis Borken";"";"";"Kreis Borken";"46325";"Borken";"Im Piepershagen 17";"02861";"821";"";"";"05554012";"1";
"10595";"Kreis Coesfeld";"";"";"Kreis Coesfeld";"48653";"Coesfeld";"Schützenwall 18";"02541";"181";"02541";"189999";"05558012";"1";
"10625";"Kreis Steinfurt";"Schul-, Kultur- und Sportamt";"z. H. Herrn Vogel";"Kreis Steinfurt";"48565";"Steinfurt";"Tecklenburger Str. 10";"02551";"692126";"02551";"692110";"05566084";"1";
"10649";"Kreis Warendorf";"";"";"Kreis Warendorf";"48231";"Warendorf";"Lange Kesselstr. 4-6";"02581";"531";"02581";"531099";"05570052";"1";
"10674";"Kreis Lippe";"";"";"Kreis Lippe";"32756";"Detmold";"Felix-Fechenbach-Str. 5";"05231";"620";"";"";"05766020";"1";
"10686";"Kreis Gütersloh";"Der Landrat";"";"Kreis Gütersloh";"33334";"Gütersloh";"Herzebrocker Str. 140";"05241";"851425";"05241";"8531425";"05754008";"1";
"10698";"Kreis Herford";"";"";"Kreis Herford";"32051";"Herford";"Amtshausstr. 3";"05221";"130";"05221";"131902";"05758012";"1";
"10704";"Kreis Höxter";"";"";"Kreis Höxter";"37671";"Höxter";"Moltkestr. 12";"05271";"9650";"05271";"37926";"05762020";"1";
"10730";"Kreis Minden-Lübbecke";"";"";"Kreis Minden-Lübbecke";"32423";"Minden";"Portastr. 13";"0571";"8070";"";"";"05770024";"1";
"10741";"Kreis Paderborn";"";"";"Kreis Paderborn";"33102";"Paderborn";"Aldegreverstr. 10-14";"05251";"2081";"";"";"05774032";"1";
"10777";"Märkischer Kreis";"";"";"Märkischer Kreis";"58509";"Lüdenscheid";"Heedfelder Str. 45";"02351";"96660";"02351";"6866";"05962032";"1";
"10807";"Ennepe-Ruhr-Kreis";"";"";"Ennepe-Ruhr-Kreis";"58332";"Schwelm";"Hauptstr. 92";"02125";"196";"";"";"05954024";"1";
"10832";"Hochsauerlandkreis";"";"";"Hochsauerlandkreis";"59872";"Meschede";"Steinstr. 27";"0291";"940";"0291";"941140";"05958032";"1";
"10844";"Kreis Olpe";"";"";"Kreis Olpe";"57462";"Olpe";"Danziger Str. 2";"02761";"811";"02761";"81343";"05966024";"1";
