sep=;
Traegernummer;Traegerbezeichnung_1;Traegerbezeichnung_2;Traegerbezeichnung_3;Kurzbezeichnung;PLZ;Ort;Strasse;Telefonvorwahl;Telefon;Faxvorwahl;Fax;Gemeindeschluessel;Rechtsform;
"15118";"Stadt Harsewinkel";"";"";"Stadt Harsewinkel";"33428";"Harsewinkel";"Münsterstr. 14";"05247";"9350";"";"";"05754016";"1";
"15155";"Gemeinde Ostbevern";"";"";"Gemeinde Ostbevern";"48346";"Ostbevern";"Am Rathaus 1";"02532";"820";"02532";"8246";"05570032";"1";
"15180";"Stadt Schloß Holte-Stukenbrock";"Stadtverwaltung";"";"Stadt Schloß Holte-Stukenbrock";"33758";"Schloß Holte-Stukenbrock";"Rathausstr. 2";"05207";"601";"";"";"05754036";"1";
"15295";"Stadt Büren";"";"";"Stadt Büren";"33142";"Büren";"Königstr. 16";"02951";"9700";"02951";"970120";"05774016";"1";
"15313";"Stadt Lichtenau";"";"";"Stadt Lichtenau";"33165";"Lichtenau";"Lange Str. 67";"05295";"393";"";"";"05774028";"1";
"15350";"Stadt Salzkotten";"";"";"Stadt Salzkotten";"33154";"Salzkotten";"Marktstr. 7";"05258";"5070";"05258";"50727";"05774036";"1";
"15453";"Bad Wünnenberg";"";"";"Bad Wünnenberg, Stadt";"33181";"Bad Wünnenberg";"Poststr. 15";"02953";"7090";"02953";"70978";"05774040";"1";
"15465";"Gemeinde Augustdorf";"";"";"Gemeinde Augustdorf";"32832";"Augustdorf";"Pivitsheider Str. 16";"05237";"971020";"05237";"971037";"05766004";"1";
"15477";"Stadt Blomberg";"";"";"Stadt Blomberg";"32825";"Blomberg";"Marktplatz 1";"05235";"444";"";"";"05766016";"1";
"15489";"Stadt Detmold";"";"";"Stadt Detmold";"32756";"Detmold";"Marktplatz 5";"05231";"9770";"05231";"977299";"05766020";"1";
"15490";"Stadt Lage";"";"";"Stadt Lage";"32791";"Lage";"Lange Str. 72";"05232";"6010";"05232";"601444";"05766040";"1";
"15507";"Stadt Lügde";"";"";"Stadt Lügde";"32676";"Lügde";"Am Markt 1";"05281";"77080";"05281";"989980";"05766052";"1";
"15519";"Stadt Horn-Bad Meinberg";"";"";"Stadt Horn-Bad Meinberg";"32805";"Horn-Bad Meinberg";"Marktplatz 4";"05234";"851";"";"";"05766032";"1";
"15520";"Stadt Schieder-Schwalenberg";"Der Bürgermeister";"";"Stadt Schieder-Schwalenberg";"32816";"Schieder-Schwalenberg";"Domäne 3";"05282";"6010";"05282";"60135";"05766060";"1";
"15532";"Gemeinde Schlangen";"";"";"Gemeinde Schlangen";"33189";"Schlangen";"Kirchplatz 6";"05252";"981112";"05252";"981222";"05766064";"1";
"15544";"Stadt Borgholzhausen";"";"";"Stadt Borgholzhausen";"33829";"Borgholzhausen";"Schulstr. 5";"05425";"5021";"";"";"05754004";"1";
"15570";"Stadt Halle";"";"";"Stadt Halle (Westf.)";"33790";"Halle (Westf.)";"Ravensberger Str. 1";"05201";"1830";"05201";"183110";"05754012";"1";
"15600";"Gemeinde Steinhagen";"";"";"Gemeinde Steinhagen";"33803";"Steinhagen";"Am Pulverbach 25";"05204";"9970";"05204";"997225";"05754040";"1";
"15647";"Stadt Versmold";"";"";"Stadt Versmold";"33775";"Versmold";"Münsterstr. 16";"05423";"9540";"05423";"954115";"05754048";"1";
"15659";"Stadt Bünde";"";"";"Stadt Bünde";"32257";"Bünde";"Bahnhofstr. 15";"05223";"1610";"05223";"161351";"05758004";"1";
"15660";"Stadt Enger";"";"";"Stadt Enger";"32130";"Enger";"Bahnhofstr. 44";"05224";"98000";"05224";"980083";"05758008";"1";
"15672";"Stadt Herford";"";"";"Stadt Herford";"32052";"Herford";"Rathausplatz 1";"05221";"1890";"05221";"189800";"05758012";"1";
"15684";"Gemeinde Hiddenhausen";"";"";"Gemeinde Hiddenhausen";"32120";"Hiddenhausen";"Rathausstr. 1";"05221";"9640";"05221";"964480";"05758016";"1";
"15696";"Gemeinde Kirchlengern";"";"";"Gemeinde Kirchlengern";"32278";"Kirchlengern";"Rathausplatz 1";"05223";"75730";"05223";"757319";"05758020";"1";
"15702";"Stadt Löhne";"";"";"Stadt Löhne";"32584";"Löhne";"Oeynhausener Str. 41";"05732";"1000";"05732";"100309";"05758024";"1";
"15714";"Gemeinde Rödinghausen";"";"";"Gemeinde Rödinghausen";"32289";"Rödinghausen";"Heerstr. 2";"05746";"9480";"05746";"948105";"05758028";"1";
"15726";"Stadt Spenge";"";"";"Stadt Spenge";"32139";"Spenge";"Lange Str. 52-56";"05225";"87680";"05225";"876855";"05758032";"1";
"15738";"Stadt Beverungen";"";"";"Stadt Beverungen";"37688";"Beverungen";"Weserstr. 12";"05273";"3920";"05273";"392120";"05762008";"1";
"15740";"Stadt Brakel";"";"";"Stadt Brakel";"33034";"Brakel";"Am Markt 12";"05272";"8041";"";"";"05762016";"1";
"15751";"Stadt Bad Driburg";"";"";"Stadt Bad Driburg";"33014";"Bad Driburg";"Am Rathausplatz 2";"05253";"880";"05253";"88135";"05762004";"1";
"15763";"Stadt Höxter";"";"";"Stadt Höxter";"37671";"Höxter";"Weserstr. 11";"05271";"631";"";"";"05762020";"1";
"15775";"Stadt Marienmünster";"";"";"Stadt Marienmünster";"37696";"Marienmünster";"Schulstr. 1";"05276";"267";"";"";"05762024";"1";
"15787";"Stadt Nieheim";"";"";"Stadt Nieheim";"33039";"Nieheim";"Marktstr. 28";"05274";"8301";"";"";"05762028";"1";
"15799";"Stadt Steinheim";"";"";"Stadt Steinheim";"32839";"Steinheim";"Marktstr. 2";"05233";"210";"05233";"21202";"05762032";"1";
"15805";"Stadt Barntrup";"";"";"Stadt Barntrup";"32683";"Barntrup";"Mittelstr. 38";"05263";"4090";"05263";"409249";"05766012";"1";
"15817";"Stadt Lemgo";"";"";"Stadt Lemgo";"32657";"Lemgo";"Marktplatz 1";"05261";"2130";"05261";"213215";"05766044";"1";
"15829";"Stadt Oerlinghausen";"";"";"Stadt Oerlinghausen";"33813";"Oerlinghausen";"Rathausplatz 1";"05202";"4930";"05202";"49393";"05766056";"1";
"15830";"Stadt Bad Salzuflen";"";"";"Stadt Bad Salzuflen";"32105";"Bad Salzuflen";"Rudolph-Brandes-Allee 19";"05222";"9520";"05222";"952161";"05766008";"1";
"15842";"Gemeinde Extertal";"";"";"Gemeinde Extertal";"32699";"Extertal";"Mittelstr. 33";"05262";"4020";"05262";"402119";"05766028";"1";
"15854";"Gemeinde Dörentrup";"";"";"Gemeinde Dörentrup";"32694";"Dörentrup";"Poststr. 11";"05265";"7390";"";"";"05766024";"1";
"15866";"Gemeinde Kalletal";"";"";"Gemeinde Kalletal";"32689";"Kalletal";"Rintelner Str. 3";"05264";"644110";"05264";"644100";"05766036";"1";
"15878";"Gemeinde Leopoldshöhe";"";"";"Gemeinde Leopoldshöhe";"33818";"Leopoldshöhe";"Kirchweg 1";"05208";"9910";"05208";"991111";"05766048";"1";
"15880";"Stadt Lübbecke";"";"";"Stadt Lübbecke";"32312";"Lübbecke";"Kreishausstr. 4";"05741";"8061";"";"";"05770020";"1";
"15891";"Stadt Espelkamp";"";"";"Stadt Espelkamp";"32339";"Espelkamp";"Wilhelm-Kern-Platz 1";"05772";"5620";"05772";"8011";"05770008";"1";
"15945";"Stadt Preußisch Oldendorf";"";"";"Stadt Preußisch Oldendorf";"32361";"Preußisch Oldendorf";"Rathausstr. 3";"05742";"93110";"05742";"5680";"05770036";"1";
"15957";"Stadt Rahden";"";"";"Stadt Rahden";"32369";"Rahden";"Lange Str. 9";"05771";"730";"05771";"7360";"05770040";"1";
"15969";"Stadt Minden";"";"";"Stadt Minden";"32423";"Minden";"Kleiner Domhof 17";"0571";"890";"0571";"89401";"05770024";"1";
"15970";"Stadt Bad Oeynhausen";"";"";"Stadt Bad Oeynhausen";"32545";"Bad Oeynhausen";"Ostkorso 8";"05731";"140";"05731";"141900";"05770004";"1";
"15994";"Gemeinde Hille";"";"";"Gemeinde Hille";"32479";"Hille";"Am Rathaus 4";"0571";"40440";"0571";"4044400";"05770012";"1";
"16081";"Stadt Petershagen";"";"";"Stadt Petershagen";"32469";"Petershagen";"Bahnhofstr. 63";"05702";"9064";"";"";"05770028";"1";
"16093";"Stadt Bad Lippspringe";"";"";"Stadt Bad Lippspringe";"33175";"Bad Lippspringe";"Friedrich-Wilhelm-Weber-Platz 1";"05252";"260";"05252";"26166";"05774008";"1";
"16100";"Stadt Paderborn";"";"";"Stadt Paderborn";"33104";"Paderborn";"Am Hoppenhof 33";"05251";"880";"05251";"882000";"05774032";"1";
"16135";"Gemeinde Altenbeken";"";"";"Gemeinde Altenbeken";"33184";"Altenbeken";"Bahnhofstr. 5 a";"05255";"12000";"05255";"120033";"05774004";"1";
"16147";"Stadt Delbrück";"";"";"Stadt Delbrück";"33129";"Delbrück";"Nordring 3";"05250";"9960";"";"";"05774020";"1";
"16159";"Gemeinde Borchen";"";"";"Gemeinde Borchen";"33178";"Borchen";"Unter der Burg 1";"05251";"38880";"05251";"3888100";"05774012";"1";
"16196";"Gemeinde Hövelhof";"";"";"Gemeinde Hövelhof";"33161";"Hövelhof";"Schloßstr. 14";"05257";"50090";"05257";"5009282";"05774024";"1";
"16226";"Stadt Warburg";"";"";"Stadt Warburg";"34414";"Warburg";"Bahnhofstr. 28";"05641";"920";"05641";"92582";"05762036";"1";
"16238";"Stadt Gütersloh";"";"";"Stadt Gütersloh";"33330";"Gütersloh";"Berliner Str. 70";"05241";"821";"05241";"822044";"05754008";"1";
"16240";"Gemeinde Herzebrock-Clarholz";"";"";"Gemeinde Herzebrock";"33442";"Herzebrock-Clarholz";"Am Rathaus 1";"05245";"4440";"05245";"444101";"05754020";"1";
"16251";"Gemeinde Langenberg";"";"";"Gemeinde Langenberg";"33449";"Langenberg";"Klutenbrinkstr. 5";"05248";"5080";"05248";"50860";"05754024";"1";
"16263";"Stadt Rheda-Wiedenbrück";"";"";"Stadt Rheda-Wiedenbrück";"33378";"Rheda-Wiedenbrück";"Rathausplatz 13";"05242";"9630";"05242";"963393";"05754028";"1";
"16275";"Stadt Rietberg";"";"";"Stadt Rietberg";"33397";"Rietberg";"Rathausstr. 36";"05244";"9860";"05244";"986400";"05754032";"1";
"16287";"Stadt Verl";"";"";"Stadt Verl";"33415";"Verl";"Paderborner Str. 5";"05246";"9610";"05246";"961250";"05754044";"1";
"16299";"Stadt Altena";"";"";"Stadt Altena";"58762";"Altena";"Lüdenscheider Str. 22";"02352";"2090";"02352";"209203";"05962004";"1";
"16305";"Stadt Plettenberg";"";"";"Stadt Plettenberg";"58840";"Plettenberg";"Grünestr. 12";"02391";"3951";"";"";"05962052";"1";
"16317";"Stadt Werdohl";"";"";"Stadt Werdohl";"58791";"Werdohl";"Goethestr. 51";"02392";"9170";"02392";"917238";"05962060";"1";
"16329";"Gemeinde Herscheid";"";"";"Gemeinde Herscheid";"58849";"Herscheid";"Plettenberger Str. 27";"02357";"90930";"02357";"909350";"05962020";"1";
"16330";"Gemeinde Nachrodt-Wiblingwerde";"";"";"Gemeinde Nachrodt-Wiblingwerde";"58769";"Nachrodt-Wiblingwerde";"Hagener Str. 76";"02352";"93830";"02352";"938350";"05962044";"1";
"16342";"Stadt Halver";"";"";"Stadt Halver";"58553";"Halver";"Thomasstr. 18";"02353";"821";"";"";"05962012";"1";
"16354";"Stadt Kierspe";"";"";"Stadt Kierspe";"58566";"Kierspe";"Springerweg 21";"02359";"6610";"02359";"661199";"05962028";"1";
"16366";"Stadt Lüdenscheid";"";"";"Stadt Lüdenscheid";"58507";"Lüdenscheid";"Rathausplatz 2";"02351";"171";"02351";"171700";"05962032";"1";
"16378";"Stadt Meinerzhagen";"";"";"Stadt Meinerzhagen";"58540";"Meinerzhagen";"Bahnhofstr. 9-15";"02354";"770";"02354";"77220";"05962036";"1";
"16380";"Stadt Neuenrade";"";"";"Stadt Neuenrade";"58809";"Neuenrade";"Alte Burg 1";"02392";"6930";"02392";"69348";"05962048";"1";
"16391";"Gemeinde Schalksmühle";"";"";"Gemeinde Schalksmühle";"58579";"Schalksmühle";"Rathausplatz 1";"02355";"840";"02355";"84299";"05962056";"1";
"16408";"Stadt Arnsberg";"";"";"Stadt Arnsberg";"59821";"Arnsberg";"Trauring 1";"02932";"2011";"02932";"25250";"05958004";"1";
"16421";"Stadt Balve";"";"";"Stadt Balve";"58802";"Balve";"Widukindplatz 1";"02375";"9260";"02375";"926160";"05962008";"1";
"16597";"Stadt Sundern";"";"";"Stadt Sundern";"59846";"Sundern (Sauerland)";"Mescheder Str. 18";"02933";"810";"02933";"81111";"05958044";"1";
"16640";"Stadt Warstein";"";"";"Stadt Warstein";"59581";"Warstein";"Dieplohstr. 1";"02902";"810";"02902";"81216";"05974044";"1";
"16652";"Stadt Brilon";"";"";"Stadt Brilon";"59929";"Brilon";"Am Markt 1";"02961";"2071";"";"";"05958012";"1";
"16676";"Stadt Winterberg";"";"";"Stadt Winterberg";"59955";"Winterberg";"Am Waltenberg 16-18";"02981";"2061";"";"";"05958048";"1";
"16688";"Stadt Medebach";"";"";"Stadt Medebach";"59964";"Medebach";"Österstr. 1";"02982";"4000";"02982";"400410";"05958028";"1";
"16718";"Stadt Olsberg";"";"";"Stadt Olsberg";"59939";"Olsberg";"Bigger Platz 6";"02962";"9820";"02962";"982226";"05958036";"1";
"16779";"Stadt Hallenberg";"";"";"Stadt Hallenberg";"59969";"Hallenberg";"Rathausplatz 1";"02984";"3030";"02984";"303109";"05958020";"1";
"16822";"Stadt Marsberg";"";"";"Stadt Marsberg";"34431";"Marsberg";"Lillers-Str. 8";"02992";"6021";"";"";"05958024";"1";
"16925";"Stadt Breckerfeld";"";"";"Stadt Breckerfeld";"58339";"Breckerfeld";"Frankfurter Str. 38";"02338";"8090";"02338";"80967";"05954004";"1";
"16937";"Stadt Ennepetal";"";"";"Stadt Ennepetal";"58256";"Ennepetal";"Bismarckstr. 21";"02333";"9790";"02333";"979280";"05954008";"1";
"16949";"Stadt Gevelsberg";"";"";"Stadt Gevelsberg";"58285";"Gevelsberg";"Rathausplatz 1";"02332";"711";"02332";"771230";"05954012";"1";
"16950";"Stadt Hattingen";"";"";"Stadt Hattingen";"45525";"Hattingen";"Rathausplatz 1";"02324";"2040";"02324";"2043229";"05954016";"1";
"16974";"Stadt Herdecke";"";"";"Stadt Herdecke";"58313";"Herdecke";"Kirchplatz 3";"02330";"6110";"02330";"61115555";"05954020";"1";
"16986";"Stadt Schwelm";"";"";"Stadt Schwelm";"58332";"Schwelm";"Hauptstr. 14";"02125";"8010";"02125";"801370";"05954024";"1";
"16998";"Stadt Sprockhövel";"";"";"Stadt Sprockhövel";"45549";"Sprockhövel";"Rathausplatz 4";"02339";"181";"";"";"05954028";"1";
"17000";"Stadt Wetter";"";"";"Stadt Wetter";"58300";"Wetter (Ruhr)";"Kaiserstr. 170";"02335";"8400";"02335";"840111";"05954032";"1";
"17036";"Stadt Menden";"";"";"Stadt Menden";"58706";"Menden (Sauerland)";"Neumarkt 5";"02373";"9031474";"";"";"05962040";"1";
"17061";"Stadt Schwerte";"";"";"Stadt Schwerte";"58239";"Schwerte";"Rathausstr. 31";"02304";"1041";"02304";"104303";"05978028";"1";
"17103";"Stadt Hemer";"";"";"Stadt Hemer";"58675";"Hemer";"Hauptstr. 209";"02372";"5510";"02372";"5515000";"05962016";"1";
"17231";"Stadt Geseke";"";"";"Stadt Geseke";"59590";"Geseke";"An der Abtei 1";"02942";"5000";"02942";"500109";"05974020";"1";
"17243";"Stadt Lippstadt";"";"";"Stadt Lippstadt";"59555";"Lippstadt";"Ostwall 1";"02941";"9800";"02941";"78111";"05974028";"1";
"17279";"Gemeinde Anröchte";"";"";"Gemeinde Anröchte";"59609";"Anröchte";"Hauptstr. 74";"02947";"8880";"02947";"888180";"05974004";"1";
"17280";"Stadt Erwitte";"";"";"Stadt Erwitte";"59597";"Erwitte";"Am Markt 13";"02943";"8960";"02943";"896370";"05974016";"1";
"17322";"Stadt Rüthen";"";"";"Stadt Rüthen";"59602";"Rüthen";"Hochstr. 14";"02952";"1414";"";"";"05974036";"1";
"17395";"Gemeinde Bestwig";"";"";"Gemeinde Bestwig";"59909";"Bestwig";"Bundesstr. 21";"02904";"9870";"02904";"987274";"05958008";"1";
"17498";"Stadt Schmallenberg";"";"";"Stadt Schmallenberg";"57392";"Schmallenberg";"Unterm Werth 1";"02972";"555";"";"";"05958040";"1";
"17516";"Stadt Attendorn";"";"";"Stadt Attendorn";"57439";"Attendorn";"Kölner Str. 12";"02722";"4051";"";"";"05966004";"1";
"17528";"Stadt Drolshagen";"";"";"Stadt Drolshagen";"57489";"Drolshagen";"Hagener Str. 9";"02761";"9700";"02761";"970200";"05966008";"1";
"17530";"Gemeinde Finnentrop";"";"";"Gemeinde Finnentrop";"57413";"Finnentrop";"Am Markt 1";"02721";"5120";"02721";"6958";"05966012";"1";
"17541";"Gemeinde Kirchhundem";"";"";"Gemeinde Kirchhundem";"57399";"Kirchhundem";"Hundemstr. 35";"02723";"4090";"02723";"40955";"05966016";"1";
"17553";"Stadt Lennestadt";"";"";"Stadt Lennestadt";"57368";"Lennestadt";"Thomas-Morus-Platz 1";"02723";"6080";"02723";"608119";"05966020";"1";
"17565";"Stadt Olpe/Biggesee";"";"";"Stadt Olpe/Biggesee";"57462";"Olpe";"Franziskanerstr. 6";"02761";"830";"02761";"831330";"05966024";"1";
"17577";"Gemeinde Wenden";"";"";"Gemeinde Wenden";"57482";"Wenden";"Hauptstr. 75";"02762";"4060";"02762";"1667";"05966028";"1";
"17590";"Stadt Hilchenbach";"";"";"Stadt Hilchenbach";"57271";"Hilchenbach";"Markt 13";"02733";"831";"";"";"05970020";"1";
"17620";"Stadt Siegen";"";"";"Stadt Siegen";"57072";"Siegen";"Markt 2";"0271";"4040";"0271";"4041512";"05970040";"1";
"17632";"Gemeinde Burbach";"";"";"Gemeinde Burbach";"57299";"Burbach";"Eicher Weg 13";"02736";"541";"";"";"05970008";"1";
"17644";"Stadt Freudenberg";"";"";"Stadt Freudenberg";"57258";"Freudenberg";"Morer Platz 1";"02734";"430";"02734";"43115";"05970016";"1";
"17656";"Stadt Kreuztal";"";"";"Stadt Kreuztal";"57223";"Kreuztal";"Siegener Str. 5";"02732";"510";"02732";"4534";"05970024";"1";
"17668";"Gemeinde Neunkirchen";"";"";"Gemeinde Neunkirchen";"57290";"Neunkirchen";"Bahnhofstr. 3";"02735";"4051";"";"";"05970036";"1";
"17670";"Stadt Netphen";"";"";"Stadt Netphen";"57250";"Netphen";"Amtsstr. 2";"02738";"6030";"02738";"603125";"05970032";"1";
"17681";"Gemeinde Wilnsdorf";"";"";"Gemeinde Wilnsdorf";"57234";"Wilnsdorf";"Marktplatz 1";"02739";"8020";"02739";"802139";"05970044";"1";
"17693";"Gemeinde Ense";"";"";"Gemeinde Ense";"59469";"Ense";"Am Spring 4";"02938";"9800";"02938";"4000";"05974012";"1";
"17700";"Gemeinde Lippetal";"";"";"Gemeinde Lippetal";"59510";"Lippetal";"Bahnhofstr. 7";"02923";"9800";"02923";"980232";"05974024";"1";
"17711";"Gemeinde Möhnesee";"";"";"Gemeinde Möhnesee";"59519";"Möhnesee";"Hauptstr. 19";"02924";"9810";"02924";"981141";"05974032";"1";
"17723";"Gemeinde Bad Sassendorf";"";"";"Gemeinde Bad Sassendorf";"59505";"Bad Sassendorf";"Eichendorffstr. 1";"02921";"5643";"";"";"05974008";"1";
"17735";"Stadt Soest";"";"";"Stadt Soest";"59494";"Soest";"Am Vreithof 8";"02921";"1030";"02921";"1039999";"05974040";"1";
"17747";"Gemeinde Welver";"";"";"Gemeinde Welver";"59514";"Welver";"Am Markt 4";"02384";"5116";"02384";"51230";"05974048";"1";
"17759";"Stadt Werl";"";"";"Stadt Werl";"59457";"Werl";"Hedwig-Dransfeld-Str. 23-23a";"02922";"8000";"02922";"8001999";"05974052";"1";
"17760";"Gemeinde Wickede";"";"";"Gemeinde Wickede";"58739";"Wickede (Ruhr)";"Hauptstr. 81";"02377";"9150";"02377";"915178";"05974056";"1";
"17772";"Stadt Kamen";"";"";"Stadt Kamen";"59174";"Kamen";"Rathausplatz 1";"02307";"1480";"02307";"1489000";"05978020";"1";
"17784";"Stadt Unna";"";"";"Stadt Unna";"59423";"Unna";"Rathausplatz 1";"02303";"1031";"02303";"103208";"05978036";"1";
"17796";"Stadt Bergkamen";"";"";"Stadt Bergkamen";"59192";"Bergkamen";"Rathausplatz 1";"02307";"9650";"02307";"69299";"05978004";"1";
"17802";"Stadt Fröndenberg/Ruhr";"";"";"Stadt Fröndenberg/Ruhr";"58730";"Fröndenberg/Ruhr";"Bahnhofstr. 2";"02373";"9760";"02373";"976295";"05978012";"1";
"17814";"Gemeinde Bönen";"";"";"Gemeinde Bönen";"59199";"Bönen";"Bahnhofstr. 54";"02383";"3033";"";"";"05978008";"1";
"17826";"Gemeinde Holzwickede";"";"";"Gemeinde Holzwickede";"59439";"Holzwickede";"Allee 5";"02301";"8581";"";"";"05978016";"1";
"17863";"Stadt Bad Berleburg";"";"";"Stadt Bad Berleburg";"57319";"Bad Berleburg";"Poststr. 42";"02751";"9230";"02751";"923288";"05970004";"1";
"17899";"Gemeinde Erndtebrück";"";"";"Gemeinde Erndtebrück";"57339";"Erndtebrück";"Siegener Str. 6";"02753";"853";"";"";"05970012";"1";
"17905";"Gemeinde Inden";"";"";"Gemeinde Inden";"52459";"Inden";"Rathausstr. 1";"02465";"390";"02465";"3980";"05358020";"1";
"17917";"Stadt Wassenberg";"";"";"Stadt Wassenberg";"41849";"Wassenberg";"Roermonder Str. 25-27";"02432";"49000";"02432";"4900119";"05370036";"1";
"17978";"Stadt Heimbach";"";"";"Stadt Heimbach";"52396";"Heimbach";"Hengebachstr. 14";"02446";"80846";"02446";"80888";"05358012";"1";
"17980";"Stadt Vlotho";"";"";"Stadt Vlotho";"32602";"Vlotho";"Lange Str. 60";"05733";"9240";"05733";"924200";"05758036";"1";
"18004";"Stadt Bad Laasphe";"";"";"Stadt Bad Laasphe";"57334";"Bad Laasphe";"Mühlenstr. 20";"02752";"9090";"02752";"909199";"05970028";"1";
"18028";"Gemeinde Wadersloh";"";"";"Gemeinde Wadersloh";"59329";"Wadersloh";"Liesborner Str. 5";"02523";"1031";"";"";"05570048";"1";
"18030";"Stadt Borgentreich";"";"";"Stadt Borgentreich";"34434";"Borgentreich";"Am Rathaus 13";"05643";"8090";"05643";"80990";"05762012";"1";
"18041";"Stadt Willebadessen";"";"";"Stadt Willebadessen";"34439";"Willebadessen";"Abdinghofweg 1";"05644";"880";"05644";"8839";"05762040";"1";
"50295";"Schulverband Berufsbildende Schulen";"Opladen";"";"Leverkusen, Schulverband Berufsb.Schulen";"51379";"Leverkusen";"Miselohestr. 4";"02171";"402523";"";"";"05316000";"1";
"50428";"Zweckverband der Förderschulen";"";"";"Gummersbach, Zweckverb. d. Förderschulen";"51643";"Gummersbach";"Rathausplatz 1";"02261";"870";"";"";"05374012";"1";
"50556";"Real-, Gesamt- und Hauptschul-";"zweckverband Gangelt-Selfkant";"";"Gangelt,Real-,Gesamt-u.Hauptschulzweckv.";"52538";"Gangelt";"Burgstr. 10";"02454";"588101";"";"";"05370008";"1";
"51688";"Förderschulzweckverband";"Hellenthal-Kall-Schleiden";"";"Schleiden, Förderschulzweckverband";"53937";"Schleiden";"Blankenheimer Str. 2-4";"02445";"890";"";"";"05366036";"1";
"70026";"Landwirtschaftskammer NRW";"Ref. 34 - Berufsbildung -";"";"Münster, Landwirtschaftskammer NRW";"48147";"Münster";"Nevinghoff 40";"0251";"23760";"0251";"2376521";"05515000";"1";
"70063";"Innungsverband des Dachdeckerhandwerks";"Westfalen";"";"Dortmund, Innungsverb.Dachdeckerhandwerk";"44269";"Dortmund";"Stockholmer Allee 53";"0231";"99536255";"0231";"99536254";"05913000";"2";
"70075";"Schornsteinfegerinnung";"für den Regierungsbezirk Arnsberg";"";"Hagen, Schornsteinfegerinnung";"58097";"Hagen";"Eduard-Müller-Str. 20";"02331";"13209";"";"";"05914000";"1";
"70099";"Graf-Recke-Stiftung";"";"";"Düsseldorf, Graf-Recke-Stiftung";"40489";"Düsseldorf";"Einbrunger Str. 82";"0211";"40551110";"";"";"05111000";"2";
"70130";"Gymnasialverwaltungsrat";"";"";"Düren, Gymnasialverwaltungsrat";"52349";"Düren";"Kaiserplatz 2-4";"";"";"";"";"05358008";"1";
"70166";"Kuratorium des Evangelisch-Stiftischen";"Gymnasiums";"";"Gütersloh, Kuratorium Evang.Stift.Gymn.";"33330";"Gütersloh";"Feldstr. 13";"05241";"98050";"05241";"980522";"05754008";"1";
"70178";"Vereinigte Stifte Geseke-Keppel";"";"";"Hilchenbach, Verein.Stifte Geseke-Keppel";"57271";"Hilchenbach";"Stift-Keppel-Weg 37";"02733";"89410";"";"";"05970020";"1";
"70294";"Anna-Herrmann-Schule";"Berufsfachschule für Gymnastik";"und Kosmetik gGmbH";"Kerpen, Anna-Hermann-Schule gGmbH";"50169";"Kerpen";"Rathausstr. 20-22";"02273";"932515";"02273";"932598";"05362032";"2";
"70350";"Verein zur Förderung und Ausbildung";"von Gymnastiklehrern/innen";"";"Bielefeld,Verein z.Ausb.v.Gymnastiklehr.";"33602";"Bielefeld";"August-Bebel-Str. 57";"0521";"37664";"0521";"3040924";"05711000";"2";
"70415";"Otto-Kühne-Schule Godesberg GmbH";"";"";"Bonn, Otto-Kühne-Schule GmbH";"53173";"Bonn";"Otto-Kühne-Platz 1";"0228";"956616";"0228";"956650";"05314000";"2";
"70439";"Bertelsmann AG";"";"";"Gütersloh, Bertelsmann AG";"33335";"Gütersloh";"Carl-Bertelsmann-Str. 270";"05241";"807964";"05241";"809332";"05754008";"2";
"70579";"Bildungszentrum für";"informationsverarbeitende Berufe e.V.";"- b.i.b. -";"Paderborn,Zentrum Informat.Verarb.Berufe";"33102";"Paderborn";"Fürstenallee 3-5";"05251";"30101";"";"";"05774032";"2";
"70609";"BIF-Bildung im Frischezentrum Essen e.V.";"";"";"Essen, BIF-Bildung Lützowstr.";"45141";"Essen";"Lützowstr. 20";"0201";"28953770";"0201";"28953774";"05113000";"2";
"70610";"Freie Waldorfschule e.V.";"";"";"Essen, Freie Waldorfschule e.V.";"45134";"Essen";"Schellstr. 47";"0201";"435150";"0201";"4351510";"05113000";"2";
"70622";"Verein Freie Waldorfschule Krefeld e.V.";"";"";"Krefeld, Freie Waldorfschule e.V.";"47800";"Krefeld";"Kaiserstr. 61";"02151";"53950";"02151";"539536";"05114000";"2";
"70634";"Verein Zentralfachschule der";"Deutschen Süßwarenwirtschaft e.V.";"";"Solingen, Fachsch.Süßwarenwirtsch.e.V.";"42653";"Solingen";"De-Leuw-Str. 3-9";"0212";"59610";"";"";"05122000";"2";
"70646";"Rudolf-Steiner-Schulverein";"Wuppertal e.V.";"";"Wuppertal, Rudolf-Steiner-Schulverein";"42285";"Wuppertal";"Schluchtstr. 21";"0202";"280840";"0202";"2808420";"05124000";"2";
"70658";"Norbert-Gymnasium e.V.";"";"";"Dormagen, Norbert-Gymnasium e.V.";"41540";"Dormagen";"Knechtsteden 17";"02133";"53180";"02133";"531819";"05162004";"2";
"70660";"Verein Freie Waldorfschule";"Bonn e.V.";"";"Bonn, Freie Waldorfschule Bonn";"53119";"Bonn";"Stettiner Str. 21";"0228";"668070";"0228";"6680730";"05314000";"2";
"70683";"Verein Fachschule des Möbelhandels e.V.";"";"";"Köln, Verein Fachschule des Möbelhandels";"50931";"Köln";"Frangenheimstr. 6";"0171";"1278467";"";"";"05315000";"2";
